id,claim,claim_type
2378,If A>B and B>C then A>C.,LOGICAL
2379,15 + 27 = 42.,NUMERIC
2380,If A>B and B>C then A>C.,LOGICAL
2381,The Earth is 149.6 million km from the Sun.,NUMERIC
2382,India became independent in 1947.,TEMPORAL
2383,AI is the greatest invention.,OPINION
2384,Python is the best language.,OPINION
2385,If A>B and B>C then A>C.,LOGICAL
2386,15 + 27 = 42.,NUMERIC
2387,If A>B and B>C then A>C.,LOGICAL
2388,This movie is fantastic.,OPINION
2389,Water freezes at 0°C.,FACTUAL
2390,If A>B and B>C then A>C.,LOGICAL
2391,Water freezes at 0°C.,FACTUAL
2392,Paris is the capital of France.,FACTUAL
2393,If A>B and B>C then A>C.,LOGICAL
2394,Mount Everest is the tallest mountain.,FACTUAL
2395,AI is the greatest invention.,OPINION
2396,Mount Everest is the tallest mountain.,FACTUAL
2397,Python is the best language.,OPINION
2398,The company was founded in 2010.,TEMPORAL
2399,AI is the greatest invention.,OPINION
2400,If A>B and B>C then A>C.,LOGICAL
2401,India became independent in 1947.,TEMPORAL
2402,The Earth is 149.6 million km from the Sun.,NUMERIC
2403,The company was founded in 2010.,TEMPORAL
2404,Python is the best language.,OPINION
2405,Every square is a rectangle.,LOGICAL
2406,The company was founded in 2010.,TEMPORAL
2407,All mammals are animals.,LOGICAL
2408,Mount Everest is the tallest mountain.,FACTUAL
2409,15 + 27 = 42.,NUMERIC
2410,The Olympics were held in Tokyo in 2021.,TEMPORAL
2411,The company was founded in 2010.,TEMPORAL
2412,This movie is fantastic.,OPINION
2413,Paris is the capital of France.,FACTUAL
2414,The Earth is 149.6 million km from the Sun.,NUMERIC
2415,A triangle has 3 sides.,NUMERIC
2416,All mammals are animals.,LOGICAL
2417,The company was founded in 2010.,TEMPORAL
2418,15 + 27 = 42.,NUMERIC
2419,Water freezes at 0°C.,FACTUAL
2420,The Earth is 149.6 million km from the Sun.,NUMERIC
2421,A triangle has 3 sides.,NUMERIC
2422,India became independent in 1947.,TEMPORAL
2423,All mammals are animals.,LOGICAL
2424,AI is the greatest invention.,OPINION
2425,If A>B and B>C then A>C.,LOGICAL
2426,Python is the best language.,OPINION
2427,The Earth is 149.6 million km from the Sun.,NUMERIC
2428,Mount Everest is the tallest mountain.,FACTUAL
2429,Mount Everest is the tallest mountain.,FACTUAL
2430,Every square is a rectangle.,LOGICAL
2431,Every square is a rectangle.,LOGICAL
2432,A triangle has 3 sides.,NUMERIC
2433,AI is the greatest invention.,OPINION
2434,15 + 27 = 42.,NUMERIC
2435,Every square is a rectangle.,LOGICAL
2436,Python is the best language.,OPINION
2437,The company was founded in 2010.,TEMPORAL
2438,If A>B and B>C then A>C.,LOGICAL
2439,Python is the best language.,OPINION
2440,The Earth is 149.6 million km from the Sun.,NUMERIC
2441,If A>B and B>C then A>C.,LOGICAL
2442,The Olympics were held in Tokyo in 2021.,TEMPORAL
2443,15 + 27 = 42.,NUMERIC
2444,Every square is a rectangle.,LOGICAL
2445,This movie is fantastic.,OPINION
2446,This movie is fantastic.,OPINION
2447,Python is the best language.,OPINION
2448,15 + 27 = 42.,NUMERIC
2449,A triangle has 3 sides.,NUMERIC
2450,The company was founded in 2010.,TEMPORAL
2451,The company was founded in 2010.,TEMPORAL
2452,A triangle has 3 sides.,NUMERIC
2453,A triangle has 3 sides.,NUMERIC
2454,Python is the best language.,OPINION
2455,The company was founded in 2010.,TEMPORAL
2456,Water freezes at 0°C.,FACTUAL
2457,This movie is fantastic.,OPINION
2458,Python is the best language.,OPINION
2459,Every square is a rectangle.,LOGICAL
2460,This movie is fantastic.,OPINION
2461,All mammals are animals.,LOGICAL
2462,AI is the greatest invention.,OPINION
2463,Water freezes at 0°C.,FACTUAL
2464,15 + 27 = 42.,NUMERIC
2465,Paris is the capital of France.,FACTUAL
2466,India became independent in 1947.,TEMPORAL
2467,The company was founded in 2010.,TEMPORAL
2468,India became independent in 1947.,TEMPORAL
2469,Mount Everest is the tallest mountain.,FACTUAL
2470,India became independent in 1947.,TEMPORAL
2471,AI is the greatest invention.,OPINION
2472,The Olympics were held in Tokyo in 2021.,TEMPORAL
2473,Mount Everest is the tallest mountain.,FACTUAL
2474,AI is the greatest invention.,OPINION
2475,This movie is fantastic.,OPINION
2476,A triangle has 3 sides.,NUMERIC
2477,The company was founded in 2010.,TEMPORAL
2478,Water freezes at 0°C.,FACTUAL
2479,If A>B and B>C then A>C.,LOGICAL
2480,The company was founded in 2010.,TEMPORAL
2481,Paris is the capital of France.,FACTUAL
2482,India became independent in 1947.,TEMPORAL
2483,This movie is fantastic.,OPINION
2484,A triangle has 3 sides.,NUMERIC
2485,The company was founded in 2010.,TEMPORAL
2486,Python is the best language.,OPINION
2487,AI is the greatest invention.,OPINION
2488,The Earth is 149.6 million km from the Sun.,NUMERIC
2489,All mammals are animals.,LOGICAL
2490,Paris is the capital of France.,FACTUAL
2491,A triangle has 3 sides.,NUMERIC
2492,AI is the greatest invention.,OPINION
2493,All mammals are animals.,LOGICAL
2494,If A>B and B>C then A>C.,LOGICAL
2495,This movie is fantastic.,OPINION
2496,15 + 27 = 42.,NUMERIC
2497,This movie is fantastic.,OPINION
2498,Water freezes at 0°C.,FACTUAL
2499,Every square is a rectangle.,LOGICAL
2500,15 + 27 = 42.,NUMERIC
2501,The Earth is 149.6 million km from the Sun.,NUMERIC
2502,AI is the greatest invention.,OPINION
2503,Python is the best language.,OPINION
2504,The Olympics were held in Tokyo in 2021.,TEMPORAL
2505,Python is the best language.,OPINION
2506,India became independent in 1947.,TEMPORAL
2507,The company was founded in 2010.,TEMPORAL
2508,15 + 27 = 42.,NUMERIC
2509,AI is the greatest invention.,OPINION
2510,AI is the greatest invention.,OPINION
2511,Every square is a rectangle.,LOGICAL
2512,This movie is fantastic.,OPINION
2513,Water freezes at 0°C.,FACTUAL
2514,15 + 27 = 42.,NUMERIC
2515,The Olympics were held in Tokyo in 2021.,TEMPORAL
2516,The Olympics were held in Tokyo in 2021.,TEMPORAL
2517,A triangle has 3 sides.,NUMERIC
2518,This movie is fantastic.,OPINION
2519,Python is the best language.,OPINION
2520,Paris is the capital of France.,FACTUAL
2521,The Olympics were held in Tokyo in 2021.,TEMPORAL
2522,A triangle has 3 sides.,NUMERIC
2523,Python is the best language.,OPINION
2524,15 + 27 = 42.,NUMERIC
2525,The Olympics were held in Tokyo in 2021.,TEMPORAL
2526,Water freezes at 0°C.,FACTUAL
2527,The company was founded in 2010.,TEMPORAL
2528,India became independent in 1947.,TEMPORAL
2529,This movie is fantastic.,OPINION
2530,Python is the best language.,OPINION
2531,If A>B and B>C then A>C.,LOGICAL
2532,Water freezes at 0°C.,FACTUAL
2533,The Earth is 149.6 million km from the Sun.,NUMERIC
2534,AI is the greatest invention.,OPINION
2535,Paris is the capital of France.,FACTUAL
2536,Python is the best language.,OPINION
2537,Mount Everest is the tallest mountain.,FACTUAL
2538,Paris is the capital of France.,FACTUAL
2539,A triangle has 3 sides.,NUMERIC
2540,All mammals are animals.,LOGICAL
2541,A triangle has 3 sides.,NUMERIC
2542,Every square is a rectangle.,LOGICAL
2543,Mount Everest is the tallest mountain.,FACTUAL
2544,15 + 27 = 42.,NUMERIC
2545,Every square is a rectangle.,LOGICAL
2546,India became independent in 1947.,TEMPORAL
2547,Paris is the capital of France.,FACTUAL
2548,Paris is the capital of France.,FACTUAL
2549,The company was founded in 2010.,TEMPORAL
2550,Mount Everest is the tallest mountain.,FACTUAL
2551,The Earth is 149.6 million km from the Sun.,NUMERIC
2552,If A>B and B>C then A>C.,LOGICAL
2553,Every square is a rectangle.,LOGICAL
2554,If A>B and B>C then A>C.,LOGICAL
2555,India became independent in 1947.,TEMPORAL
2556,Every square is a rectangle.,LOGICAL
2557,Mount Everest is the tallest mountain.,FACTUAL
2558,Mount Everest is the tallest mountain.,FACTUAL
2559,AI is the greatest invention.,OPINION
2560,AI is the greatest invention.,OPINION
2561,Water freezes at 0°C.,FACTUAL
2562,AI is the greatest invention.,OPINION
2563,The company was founded in 2010.,TEMPORAL
2564,The company was founded in 2010.,TEMPORAL
2565,Water freezes at 0°C.,FACTUAL
2566,If A>B and B>C then A>C.,LOGICAL
2567,Every square is a rectangle.,LOGICAL
2568,Water freezes at 0°C.,FACTUAL
2569,A triangle has 3 sides.,NUMERIC
2570,15 + 27 = 42.,NUMERIC
2571,Every square is a rectangle.,LOGICAL
2572,The company was founded in 2010.,TEMPORAL
2573,The Earth is 149.6 million km from the Sun.,NUMERIC
2574,India became independent in 1947.,TEMPORAL
2575,Python is the best language.,OPINION
2576,15 + 27 = 42.,NUMERIC
2577,Paris is the capital of France.,FACTUAL
2578,Python is the best language.,OPINION
2579,Every square is a rectangle.,LOGICAL
2580,AI is the greatest invention.,OPINION
2581,India became independent in 1947.,TEMPORAL
2582,India became independent in 1947.,TEMPORAL
2583,Every square is a rectangle.,LOGICAL
2584,AI is the greatest invention.,OPINION
2585,15 + 27 = 42.,NUMERIC
2586,A triangle has 3 sides.,NUMERIC
2587,India became independent in 1947.,TEMPORAL
2588,Paris is the capital of France.,FACTUAL
2589,AI is the greatest invention.,OPINION
2590,This movie is fantastic.,OPINION
2591,AI is the greatest invention.,OPINION
2592,The company was founded in 2010.,TEMPORAL
2593,Water freezes at 0°C.,FACTUAL
2594,Paris is the capital of France.,FACTUAL
2595,This movie is fantastic.,OPINION
2596,The Olympics were held in Tokyo in 2021.,TEMPORAL
2597,A triangle has 3 sides.,NUMERIC
2598,15 + 27 = 42.,NUMERIC
2599,The company was founded in 2010.,TEMPORAL
2600,Paris is the capital of France.,FACTUAL
2601,The Olympics were held in Tokyo in 2021.,TEMPORAL
2602,If A>B and B>C then A>C.,LOGICAL
2603,Python is the best language.,OPINION
2604,The company was founded in 2010.,TEMPORAL
2605,AI is the greatest invention.,OPINION
2606,Python is the best language.,OPINION
2607,The Olympics were held in Tokyo in 2021.,TEMPORAL
2608,All mammals are animals.,LOGICAL
2609,Water freezes at 0°C.,FACTUAL
2610,15 + 27 = 42.,NUMERIC
2611,If A>B and B>C then A>C.,LOGICAL
2612,India became independent in 1947.,TEMPORAL
2613,The Olympics were held in Tokyo in 2021.,TEMPORAL
2614,If A>B and B>C then A>C.,LOGICAL
2615,The Olympics were held in Tokyo in 2021.,TEMPORAL
2616,Every square is a rectangle.,LOGICAL
2617,Paris is the capital of France.,FACTUAL
2618,AI is the greatest invention.,OPINION
2619,India became independent in 1947.,TEMPORAL
2620,AI is the greatest invention.,OPINION
2621,The company was founded in 2010.,TEMPORAL
2622,Mount Everest is the tallest mountain.,FACTUAL
2623,Paris is the capital of France.,FACTUAL
2624,Python is the best language.,OPINION
2625,Mount Everest is the tallest mountain.,FACTUAL
2626,This movie is fantastic.,OPINION
2627,AI is the greatest invention.,OPINION
2628,Mount Everest is the tallest mountain.,FACTUAL
2629,The company was founded in 2010.,TEMPORAL
2630,This movie is fantastic.,OPINION
2631,The Earth is 149.6 million km from the Sun.,NUMERIC
2632,All mammals are animals.,LOGICAL
2633,Python is the best language.,OPINION
2634,India became independent in 1947.,TEMPORAL
2635,Every square is a rectangle.,LOGICAL
2636,AI is the greatest invention.,OPINION
2637,If A>B and B>C then A>C.,LOGICAL
2638,AI is the greatest invention.,OPINION
2639,A triangle has 3 sides.,NUMERIC
2640,A triangle has 3 sides.,NUMERIC
2641,The Earth is 149.6 million km from the Sun.,NUMERIC
2642,15 + 27 = 42.,NUMERIC
2643,Python is the best language.,OPINION
2644,A triangle has 3 sides.,NUMERIC
2645,If A>B and B>C then A>C.,LOGICAL
2646,Paris is the capital of France.,FACTUAL
2647,All mammals are animals.,LOGICAL
2648,Water freezes at 0°C.,FACTUAL
2649,India became independent in 1947.,TEMPORAL
2650,Mount Everest is the tallest mountain.,FACTUAL
2651,A triangle has 3 sides.,NUMERIC
2652,The Olympics were held in Tokyo in 2021.,TEMPORAL
2653,If A>B and B>C then A>C.,LOGICAL
2654,Paris is the capital of France.,FACTUAL
2655,India became independent in 1947.,TEMPORAL
2656,Python is the best language.,OPINION
2657,The company was founded in 2010.,TEMPORAL
2658,The company was founded in 2010.,TEMPORAL
2659,Python is the best language.,OPINION
2660,The Earth is 149.6 million km from the Sun.,NUMERIC
2661,If A>B and B>C then A>C.,LOGICAL
2662,Python is the best language.,OPINION
2663,Mount Everest is the tallest mountain.,FACTUAL
2664,The Olympics were held in Tokyo in 2021.,TEMPORAL
2665,A triangle has 3 sides.,NUMERIC
2666,If A>B and B>C then A>C.,LOGICAL
2667,The Olympics were held in Tokyo in 2021.,TEMPORAL
2668,Every square is a rectangle.,LOGICAL
2669,Mount Everest is the tallest mountain.,FACTUAL
2670,The Earth is 149.6 million km from the Sun.,NUMERIC
2671,15 + 27 = 42.,NUMERIC
2672,Mount Everest is the tallest mountain.,FACTUAL
2673,India became independent in 1947.,TEMPORAL
2674,15 + 27 = 42.,NUMERIC
2675,The Earth is 149.6 million km from the Sun.,NUMERIC
2676,Python is the best language.,OPINION
2677,Mount Everest is the tallest mountain.,FACTUAL
2678,The Earth is 149.6 million km from the Sun.,NUMERIC
2679,The company was founded in 2010.,TEMPORAL
2680,Water freezes at 0°C.,FACTUAL
2681,If A>B and B>C then A>C.,LOGICAL
2682,A triangle has 3 sides.,NUMERIC
2683,A triangle has 3 sides.,NUMERIC
2684,All mammals are animals.,LOGICAL
2685,15 + 27 = 42.,NUMERIC
2686,A triangle has 3 sides.,NUMERIC
2687,AI is the greatest invention.,OPINION
2688,A triangle has 3 sides.,NUMERIC
2689,AI is the greatest invention.,OPINION
2690,AI is the greatest invention.,OPINION
2691,Paris is the capital of France.,FACTUAL
2692,India became independent in 1947.,TEMPORAL
2693,This movie is fantastic.,OPINION
2694,Python is the best language.,OPINION
2695,Mount Everest is the tallest mountain.,FACTUAL
2696,India became independent in 1947.,TEMPORAL
2697,The Earth is 149.6 million km from the Sun.,NUMERIC
2698,This movie is fantastic.,OPINION
2699,All mammals are animals.,LOGICAL
2700,The Earth is 149.6 million km from the Sun.,NUMERIC
2701,AI is the greatest invention.,OPINION
2702,AI is the greatest invention.,OPINION
2703,Python is the best language.,OPINION
2704,This movie is fantastic.,OPINION
2705,A triangle has 3 sides.,NUMERIC
2706,The Olympics were held in Tokyo in 2021.,TEMPORAL
2707,Python is the best language.,OPINION
2708,Paris is the capital of France.,FACTUAL
2709,If A>B and B>C then A>C.,LOGICAL
2710,15 + 27 = 42.,NUMERIC
2711,Paris is the capital of France.,FACTUAL
2712,Python is the best language.,OPINION
2713,All mammals are animals.,LOGICAL
2714,AI is the greatest invention.,OPINION
2715,The Earth is 149.6 million km from the Sun.,NUMERIC
2716,Python is the best language.,OPINION
2717,Mount Everest is the tallest mountain.,FACTUAL
2718,AI is the greatest invention.,OPINION
2719,Water freezes at 0°C.,FACTUAL
2720,A triangle has 3 sides.,NUMERIC
2721,AI is the greatest invention.,OPINION
2722,Every square is a rectangle.,LOGICAL
2723,If A>B and B>C then A>C.,LOGICAL
2724,Mount Everest is the tallest mountain.,FACTUAL
2725,This movie is fantastic.,OPINION
2726,The Earth is 149.6 million km from the Sun.,NUMERIC
2727,If A>B and B>C then A>C.,LOGICAL
2728,Python is the best language.,OPINION
2729,AI is the greatest invention.,OPINION
2730,All mammals are animals.,LOGICAL
2731,The Olympics were held in Tokyo in 2021.,TEMPORAL
2732,15 + 27 = 42.,NUMERIC
2733,The company was founded in 2010.,TEMPORAL
2734,This movie is fantastic.,OPINION
2735,India became independent in 1947.,TEMPORAL
2736,Mount Everest is the tallest mountain.,FACTUAL
2737,Mount Everest is the tallest mountain.,FACTUAL
2738,AI is the greatest invention.,OPINION
2739,AI is the greatest invention.,OPINION
2740,Every square is a rectangle.,LOGICAL
2741,A triangle has 3 sides.,NUMERIC
2742,The Olympics were held in Tokyo in 2021.,TEMPORAL
2743,India became independent in 1947.,TEMPORAL
2744,The Earth is 149.6 million km from the Sun.,NUMERIC
2745,This movie is fantastic.,OPINION
2746,The company was founded in 2010.,TEMPORAL
2747,Every square is a rectangle.,LOGICAL
2748,The company was founded in 2010.,TEMPORAL
2749,The company was founded in 2010.,TEMPORAL
2750,All mammals are animals.,LOGICAL
2751,Every square is a rectangle.,LOGICAL
2752,This movie is fantastic.,OPINION
2753,The Earth is 149.6 million km from the Sun.,NUMERIC
2754,Python is the best language.,OPINION
2755,If A>B and B>C then A>C.,LOGICAL
2756,The company was founded in 2010.,TEMPORAL
2757,The company was founded in 2010.,TEMPORAL
2758,Every square is a rectangle.,LOGICAL
2759,A triangle has 3 sides.,NUMERIC
2760,Mount Everest is the tallest mountain.,FACTUAL
2761,The Earth is 149.6 million km from the Sun.,NUMERIC
2762,15 + 27 = 42.,NUMERIC
2763,A triangle has 3 sides.,NUMERIC
2764,If A>B and B>C then A>C.,LOGICAL
2765,Python is the best language.,OPINION
2766,Paris is the capital of France.,FACTUAL
2767,Every square is a rectangle.,LOGICAL
2768,Paris is the capital of France.,FACTUAL
2769,The Earth is 149.6 million km from the Sun.,NUMERIC
2770,This movie is fantastic.,OPINION
2771,Paris is the capital of France.,FACTUAL
2772,India became independent in 1947.,TEMPORAL
2773,India became independent in 1947.,TEMPORAL
2774,AI is the greatest invention.,OPINION
2775,If A>B and B>C then A>C.,LOGICAL
2776,Python is the best language.,OPINION
2777,This movie is fantastic.,OPINION
2778,AI is the greatest invention.,OPINION
2779,A triangle has 3 sides.,NUMERIC
2780,If A>B and B>C then A>C.,LOGICAL
2781,Paris is the capital of France.,FACTUAL
2782,This movie is fantastic.,OPINION
2783,15 + 27 = 42.,NUMERIC
2784,Python is the best language.,OPINION
2785,Python is the best language.,OPINION
2786,A triangle has 3 sides.,NUMERIC
2787,A triangle has 3 sides.,NUMERIC
2788,Water freezes at 0°C.,FACTUAL
2789,A triangle has 3 sides.,NUMERIC
2790,Paris is the capital of France.,FACTUAL
2791,Water freezes at 0°C.,FACTUAL
2792,If A>B and B>C then A>C.,LOGICAL
2793,If A>B and B>C then A>C.,LOGICAL
2794,AI is the greatest invention.,OPINION
2795,AI is the greatest invention.,OPINION
2796,Paris is the capital of France.,FACTUAL
2797,This movie is fantastic.,OPINION
2798,Python is the best language.,OPINION
2799,The Olympics were held in Tokyo in 2021.,TEMPORAL
2800,India became independent in 1947.,TEMPORAL
2801,AI is the greatest invention.,OPINION
2802,If A>B and B>C then A>C.,LOGICAL
2803,AI is the greatest invention.,OPINION
2804,India became independent in 1947.,TEMPORAL
2805,Every square is a rectangle.,LOGICAL
2806,Mount Everest is the tallest mountain.,FACTUAL
2807,Mount Everest is the tallest mountain.,FACTUAL
2808,The Olympics were held in Tokyo in 2021.,TEMPORAL
2809,Mount Everest is the tallest mountain.,FACTUAL
2810,The company was founded in 2010.,TEMPORAL
2811,This movie is fantastic.,OPINION
2812,If A>B and B>C then A>C.,LOGICAL
2813,This movie is fantastic.,OPINION
2814,The Earth is 149.6 million km from the Sun.,NUMERIC
2815,Every square is a rectangle.,LOGICAL
2816,Every square is a rectangle.,LOGICAL
2817,Water freezes at 0°C.,FACTUAL
2818,Water freezes at 0°C.,FACTUAL
2819,Water freezes at 0°C.,FACTUAL
2820,A triangle has 3 sides.,NUMERIC
2821,The Earth is 149.6 million km from the Sun.,NUMERIC
2822,If A>B and B>C then A>C.,LOGICAL
2823,Python is the best language.,OPINION
2824,Mount Everest is the tallest mountain.,FACTUAL
2825,India became independent in 1947.,TEMPORAL
2826,India became independent in 1947.,TEMPORAL
2827,Every square is a rectangle.,LOGICAL
2828,India became independent in 1947.,TEMPORAL
2829,AI is the greatest invention.,OPINION
2830,If A>B and B>C then A>C.,LOGICAL
2831,India became independent in 1947.,TEMPORAL
2832,This movie is fantastic.,OPINION
2833,A triangle has 3 sides.,NUMERIC
2834,The Earth is 149.6 million km from the Sun.,NUMERIC
2835,15 + 27 = 42.,NUMERIC
2836,The Earth is 149.6 million km from the Sun.,NUMERIC
2837,15 + 27 = 42.,NUMERIC
2838,15 + 27 = 42.,NUMERIC
2839,This movie is fantastic.,OPINION
2840,15 + 27 = 42.,NUMERIC
2841,Paris is the capital of France.,FACTUAL
2842,Every square is a rectangle.,LOGICAL
2843,Mount Everest is the tallest mountain.,FACTUAL
2844,Water freezes at 0°C.,FACTUAL
2845,The company was founded in 2010.,TEMPORAL
2846,The Olympics were held in Tokyo in 2021.,TEMPORAL
2847,This movie is fantastic.,OPINION
2848,All mammals are animals.,LOGICAL
2849,This movie is fantastic.,OPINION
2850,All mammals are animals.,LOGICAL
2851,AI is the greatest invention.,OPINION
2852,Mount Everest is the tallest mountain.,FACTUAL
2853,If A>B and B>C then A>C.,LOGICAL
2854,AI is the greatest invention.,OPINION
2855,This movie is fantastic.,OPINION
2856,Every square is a rectangle.,LOGICAL
2857,The Earth is 149.6 million km from the Sun.,NUMERIC
2858,Mount Everest is the tallest mountain.,FACTUAL
2859,This movie is fantastic.,OPINION
2860,The company was founded in 2010.,TEMPORAL
2861,Paris is the capital of France.,FACTUAL
2862,The Earth is 149.6 million km from the Sun.,NUMERIC
2863,AI is the greatest invention.,OPINION
2864,The Olympics were held in Tokyo in 2021.,TEMPORAL
2865,This movie is fantastic.,OPINION
2866,A triangle has 3 sides.,NUMERIC
2867,India became independent in 1947.,TEMPORAL
2868,The Olympics were held in Tokyo in 2021.,TEMPORAL
2869,This movie is fantastic.,OPINION
2870,India became independent in 1947.,TEMPORAL
2871,If A>B and B>C then A>C.,LOGICAL
2872,The Earth is 149.6 million km from the Sun.,NUMERIC
2873,The Olympics were held in Tokyo in 2021.,TEMPORAL
2874,If A>B and B>C then A>C.,LOGICAL
2875,All mammals are animals.,LOGICAL
2876,AI is the greatest invention.,OPINION
2877,Python is the best language.,OPINION
2878,15 + 27 = 42.,NUMERIC
2879,India became independent in 1947.,TEMPORAL
2880,This movie is fantastic.,OPINION
2881,All mammals are animals.,LOGICAL
2882,A triangle has 3 sides.,NUMERIC
2883,The Earth is 149.6 million km from the Sun.,NUMERIC
2884,Paris is the capital of France.,FACTUAL
2885,If A>B and B>C then A>C.,LOGICAL
2886,A triangle has 3 sides.,NUMERIC
2887,Python is the best language.,OPINION
2888,The Olympics were held in Tokyo in 2021.,TEMPORAL
2889,The Olympics were held in Tokyo in 2021.,TEMPORAL
2890,Python is the best language.,OPINION
2891,Water freezes at 0°C.,FACTUAL
2892,Mount Everest is the tallest mountain.,FACTUAL
2893,15 + 27 = 42.,NUMERIC
2894,The Earth is 149.6 million km from the Sun.,NUMERIC
2895,Every square is a rectangle.,LOGICAL
2896,Water freezes at 0°C.,FACTUAL
2897,The Olympics were held in Tokyo in 2021.,TEMPORAL
2898,The Olympics were held in Tokyo in 2021.,TEMPORAL
2899,Python is the best language.,OPINION
2900,The Olympics were held in Tokyo in 2021.,TEMPORAL
2901,Water freezes at 0°C.,FACTUAL
2902,Water freezes at 0°C.,FACTUAL
2903,AI is the greatest invention.,OPINION
2904,Python is the best language.,OPINION
2905,AI is the greatest invention.,OPINION
2906,The Olympics were held in Tokyo in 2021.,TEMPORAL
2907,The company was founded in 2010.,TEMPORAL
2908,This movie is fantastic.,OPINION
2909,All mammals are animals.,LOGICAL
2910,Every square is a rectangle.,LOGICAL
2911,The Olympics were held in Tokyo in 2021.,TEMPORAL
2912,15 + 27 = 42.,NUMERIC
2913,The Olympics were held in Tokyo in 2021.,TEMPORAL
2914,Python is the best language.,OPINION
2915,All mammals are animals.,LOGICAL
2916,Paris is the capital of France.,FACTUAL
2917,India became independent in 1947.,TEMPORAL
2918,The Olympics were held in Tokyo in 2021.,TEMPORAL
2919,The company was founded in 2010.,TEMPORAL
2920,The company was founded in 2010.,TEMPORAL
2921,If A>B and B>C then A>C.,LOGICAL
2922,If A>B and B>C then A>C.,LOGICAL
2923,Python is the best language.,OPINION
2924,If A>B and B>C then A>C.,LOGICAL
2925,15 + 27 = 42.,NUMERIC
2926,Paris is the capital of France.,FACTUAL
2927,A triangle has 3 sides.,NUMERIC
2928,The company was founded in 2010.,TEMPORAL
2929,Paris is the capital of France.,FACTUAL
2930,The Earth is 149.6 million km from the Sun.,NUMERIC
2931,Paris is the capital of France.,FACTUAL
2932,Water freezes at 0°C.,FACTUAL
2933,AI is the greatest invention.,OPINION
2934,Water freezes at 0°C.,FACTUAL
2935,AI is the greatest invention.,OPINION
2936,Water freezes at 0°C.,FACTUAL
2937,AI is the greatest invention.,OPINION
2938,Mount Everest is the tallest mountain.,FACTUAL
2939,If A>B and B>C then A>C.,LOGICAL
2940,15 + 27 = 42.,NUMERIC
2941,The Olympics were held in Tokyo in 2021.,TEMPORAL
2942,15 + 27 = 42.,NUMERIC
2943,AI is the greatest invention.,OPINION
2944,Paris is the capital of France.,FACTUAL
2945,The Olympics were held in Tokyo in 2021.,TEMPORAL
2946,If A>B and B>C then A>C.,LOGICAL
2947,This movie is fantastic.,OPINION
2948,This movie is fantastic.,OPINION
2949,A triangle has 3 sides.,NUMERIC
2950,AI is the greatest invention.,OPINION
2951,Python is the best language.,OPINION
2952,Every square is a rectangle.,LOGICAL
2953,This movie is fantastic.,OPINION
2954,Python is the best language.,OPINION
2955,This movie is fantastic.,OPINION
2956,The Olympics were held in Tokyo in 2021.,TEMPORAL
2957,AI is the greatest invention.,OPINION
2958,Water freezes at 0°C.,FACTUAL
2959,The Olympics were held in Tokyo in 2021.,TEMPORAL
2960,If A>B and B>C then A>C.,LOGICAL
2961,The Earth is 149.6 million km from the Sun.,NUMERIC
2962,Paris is the capital of France.,FACTUAL
2963,AI is the greatest invention.,OPINION
2964,The Olympics were held in Tokyo in 2021.,TEMPORAL
2965,Every square is a rectangle.,LOGICAL
2966,Mount Everest is the tallest mountain.,FACTUAL
2967,If A>B and B>C then A>C.,LOGICAL
2968,India became independent in 1947.,TEMPORAL
2969,If A>B and B>C then A>C.,LOGICAL
2970,AI is the greatest invention.,OPINION
2971,Mount Everest is the tallest mountain.,FACTUAL
2972,India became independent in 1947.,TEMPORAL
2973,Every square is a rectangle.,LOGICAL
2974,If A>B and B>C then A>C.,LOGICAL
2975,15 + 27 = 42.,NUMERIC
2976,If A>B and B>C then A>C.,LOGICAL
2977,The Earth is 149.6 million km from the Sun.,NUMERIC
2978,Water freezes at 0°C.,FACTUAL
2979,A triangle has 3 sides.,NUMERIC
2980,Python is the best language.,OPINION
2981,The Olympics were held in Tokyo in 2021.,TEMPORAL
2982,This movie is fantastic.,OPINION
2983,All mammals are animals.,LOGICAL
2984,Paris is the capital of France.,FACTUAL
2985,The Earth is 149.6 million km from the Sun.,NUMERIC
2986,Mount Everest is the tallest mountain.,FACTUAL
2987,Every square is a rectangle.,LOGICAL
2988,If A>B and B>C then A>C.,LOGICAL
2989,This movie is fantastic.,OPINION
2990,The Earth is 149.6 million km from the Sun.,NUMERIC
2991,Paris is the capital of France.,FACTUAL
2992,Mount Everest is the tallest mountain.,FACTUAL
2993,Paris is the capital of France.,FACTUAL
2994,Water freezes at 0°C.,FACTUAL
2995,India became independent in 1947.,TEMPORAL
2996,Every square is a rectangle.,LOGICAL
2997,Paris is the capital of France.,FACTUAL
2998,Paris is the capital of France.,FACTUAL
2999,Water freezes at 0°C.,FACTUAL
3000,The Earth is 149.6 million km from the Sun.,NUMERIC
3001,If A>B and B>C then A>C.,LOGICAL
3002,If A>B and B>C then A>C.,LOGICAL
3003,Every square is a rectangle.,LOGICAL
3004,Water freezes at 0°C.,FACTUAL
3005,Paris is the capital of France.,FACTUAL
3006,Water freezes at 0°C.,FACTUAL
3007,All mammals are animals.,LOGICAL
3008,This movie is fantastic.,OPINION
3009,15 + 27 = 42.,NUMERIC
3010,The Olympics were held in Tokyo in 2021.,TEMPORAL
3011,Paris is the capital of France.,FACTUAL
3012,The Earth is 149.6 million km from the Sun.,NUMERIC
3013,All mammals are animals.,LOGICAL
