id,response,atomic_claims
368,India created a satellite in 1905 and the event influenced modern science.,"[""India created a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
369,WHO discovered relativity in 1905 and the event influenced modern science.,"[""WHO discovered relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
370,Marie Curie launched relativity in 1969 and the event influenced modern science.,"[""Marie Curie launched relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
371,India discovered a framework in 2020 and the event influenced modern science.,"[""India discovered a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
372,Marie Curie discovered a satellite in 1905 and the event influenced modern science.,"[""Marie Curie discovered a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
373,Marie Curie developed relativity in 2024 and the event influenced modern science.,"[""Marie Curie developed relativity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
374,Google discovered gravity in 1928 and the event influenced modern science.,"[""Google discovered gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
375,India created relativity in 2024 and the event influenced modern science.,"[""India created relativity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
376,Google launched gravity in 1905 and the event influenced modern science.,"[""Google launched gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
377,Marie Curie developed a satellite in 1947 and the event influenced modern science.,"[""Marie Curie developed a satellite."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
378,India created relativity in 1905 and the event influenced modern science.,"[""India created relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
379,Google developed gravity in 2020 and the event influenced modern science.,"[""Google developed gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
380,NASA announced gravity in 1928 and the event influenced modern science.,"[""NASA announced gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
381,India created a satellite in 1905 and the event influenced modern science.,"[""India created a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
382,Google discovered relativity in 1969 and the event influenced modern science.,"[""Google discovered relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
383,Newton developed relativity in 1905 and the event influenced modern science.,"[""Newton developed relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
384,Einstein developed gravity in 2024 and the event influenced modern science.,"[""Einstein developed gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
385,India announced a satellite in 1969 and the event influenced modern science.,"[""India announced a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
386,WHO developed gravity in 1905 and the event influenced modern science.,"[""WHO developed gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
387,Google discovered gravity in 1905 and the event influenced modern science.,"[""Google discovered gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
388,NASA announced gravity in 1928 and the event influenced modern science.,"[""NASA announced gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
389,Einstein discovered gravity in 2020 and the event influenced modern science.,"[""Einstein discovered gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
390,India discovered a satellite in 1928 and the event influenced modern science.,"[""India discovered a satellite."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
391,India launched a framework in 1969 and the event influenced modern science.,"[""India launched a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
392,Einstein developed a framework in 2024 and the event influenced modern science.,"[""Einstein developed a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
393,India developed gravity in 1947 and the event influenced modern science.,"[""India developed gravity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
394,Google developed a satellite in 1969 and the event influenced modern science.,"[""Google developed a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
395,Marie Curie developed a framework in 1905 and the event influenced modern science.,"[""Marie Curie developed a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
396,India developed a satellite in 2024 and the event influenced modern science.,"[""India developed a satellite."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
397,India launched a framework in 1905 and the event influenced modern science.,"[""India launched a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
398,Einstein launched relativity in 1905 and the event influenced modern science.,"[""Einstein launched relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
399,Newton launched gravity in 2020 and the event influenced modern science.,"[""Newton launched gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
400,India announced a framework in 1928 and the event influenced modern science.,"[""India announced a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
401,Marie Curie discovered a framework in 2024 and the event influenced modern science.,"[""Marie Curie discovered a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
402,Marie Curie developed relativity in 2020 and the event influenced modern science.,"[""Marie Curie developed relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
403,Marie Curie announced relativity in 1905 and the event influenced modern science.,"[""Marie Curie announced relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
404,WHO created relativity in 2024 and the event influenced modern science.,"[""WHO created relativity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
405,WHO launched a vaccine in 2024 and the event influenced modern science.,"[""WHO launched a vaccine."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
406,NASA discovered gravity in 1928 and the event influenced modern science.,"[""NASA discovered gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
407,India created a framework in 1947 and the event influenced modern science.,"[""India created a framework."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
408,Einstein created a satellite in 1905 and the event influenced modern science.,"[""Einstein created a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
409,WHO discovered relativity in 1969 and the event influenced modern science.,"[""WHO discovered relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
410,Newton developed a vaccine in 1928 and the event influenced modern science.,"[""Newton developed a vaccine."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
411,NASA launched a framework in 1947 and the event influenced modern science.,"[""NASA launched a framework."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
412,Google launched a satellite in 1947 and the event influenced modern science.,"[""Google launched a satellite."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
413,WHO developed relativity in 1905 and the event influenced modern science.,"[""WHO developed relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
414,Marie Curie discovered relativity in 1905 and the event influenced modern science.,"[""Marie Curie discovered relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
415,Einstein announced gravity in 1969 and the event influenced modern science.,"[""Einstein announced gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
416,Newton launched a framework in 1928 and the event influenced modern science.,"[""Newton launched a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
417,NASA developed a framework in 1969 and the event influenced modern science.,"[""NASA developed a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
418,Marie Curie discovered relativity in 2020 and the event influenced modern science.,"[""Marie Curie discovered relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
419,Google discovered a satellite in 2024 and the event influenced modern science.,"[""Google discovered a satellite."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
420,India discovered a satellite in 1969 and the event influenced modern science.,"[""India discovered a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
421,WHO created gravity in 1969 and the event influenced modern science.,"[""WHO created gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
422,Einstein developed relativity in 1947 and the event influenced modern science.,"[""Einstein developed relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
423,Google discovered a vaccine in 1947 and the event influenced modern science.,"[""Google discovered a vaccine."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
424,Marie Curie developed gravity in 1928 and the event influenced modern science.,"[""Marie Curie developed gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
425,India launched gravity in 1928 and the event influenced modern science.,"[""India launched gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
426,Newton discovered gravity in 2020 and the event influenced modern science.,"[""Newton discovered gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
427,Marie Curie announced a satellite in 2020 and the event influenced modern science.,"[""Marie Curie announced a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
428,WHO announced a vaccine in 1969 and the event influenced modern science.,"[""WHO announced a vaccine."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
429,WHO launched a framework in 1905 and the event influenced modern science.,"[""WHO launched a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
430,Marie Curie announced a framework in 2024 and the event influenced modern science.,"[""Marie Curie announced a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
431,WHO launched a vaccine in 1947 and the event influenced modern science.,"[""WHO launched a vaccine."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
432,NASA developed relativity in 1947 and the event influenced modern science.,"[""NASA developed relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
433,NASA discovered relativity in 1947 and the event influenced modern science.,"[""NASA discovered relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
434,NASA announced gravity in 1905 and the event influenced modern science.,"[""NASA announced gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
435,Newton created gravity in 1905 and the event influenced modern science.,"[""Newton created gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
436,WHO created gravity in 1905 and the event influenced modern science.,"[""WHO created gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
437,Einstein discovered a satellite in 2020 and the event influenced modern science.,"[""Einstein discovered a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
438,Einstein discovered a satellite in 1969 and the event influenced modern science.,"[""Einstein discovered a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
439,Marie Curie discovered a satellite in 1928 and the event influenced modern science.,"[""Marie Curie discovered a satellite."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
440,NASA created gravity in 2020 and the event influenced modern science.,"[""NASA created gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
441,Newton created gravity in 2024 and the event influenced modern science.,"[""Newton created gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
442,India launched a satellite in 1905 and the event influenced modern science.,"[""India launched a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
443,Einstein created gravity in 2024 and the event influenced modern science.,"[""Einstein created gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
444,Newton launched gravity in 1969 and the event influenced modern science.,"[""Newton launched gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
445,Newton developed a framework in 1905 and the event influenced modern science.,"[""Newton developed a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
446,NASA announced gravity in 1928 and the event influenced modern science.,"[""NASA announced gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
447,Newton announced relativity in 1947 and the event influenced modern science.,"[""Newton announced relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
448,Newton discovered a vaccine in 1947 and the event influenced modern science.,"[""Newton discovered a vaccine."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
449,Google launched a satellite in 1947 and the event influenced modern science.,"[""Google launched a satellite."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
450,Einstein announced relativity in 1905 and the event influenced modern science.,"[""Einstein announced relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
451,India developed gravity in 1905 and the event influenced modern science.,"[""India developed gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
452,Google announced relativity in 1947 and the event influenced modern science.,"[""Google announced relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
453,Google created a vaccine in 1969 and the event influenced modern science.,"[""Google created a vaccine."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
454,NASA announced a framework in 1947 and the event influenced modern science.,"[""NASA announced a framework."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
455,NASA discovered relativity in 1905 and the event influenced modern science.,"[""NASA discovered relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
456,Google discovered a vaccine in 1928 and the event influenced modern science.,"[""Google discovered a vaccine."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
457,India developed a framework in 1969 and the event influenced modern science.,"[""India developed a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
458,Einstein announced a vaccine in 1969 and the event influenced modern science.,"[""Einstein announced a vaccine."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
459,NASA announced relativity in 1905 and the event influenced modern science.,"[""NASA announced relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
460,Marie Curie created gravity in 2020 and the event influenced modern science.,"[""Marie Curie created gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
461,Einstein developed a satellite in 1905 and the event influenced modern science.,"[""Einstein developed a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
462,Newton discovered a vaccine in 1969 and the event influenced modern science.,"[""Newton discovered a vaccine."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
463,NASA announced gravity in 1947 and the event influenced modern science.,"[""NASA announced gravity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
464,Marie Curie created gravity in 1905 and the event influenced modern science.,"[""Marie Curie created gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
465,WHO discovered gravity in 1969 and the event influenced modern science.,"[""WHO discovered gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
466,Google announced a satellite in 1905 and the event influenced modern science.,"[""Google announced a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
467,Marie Curie discovered gravity in 2024 and the event influenced modern science.,"[""Marie Curie discovered gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
468,India launched a framework in 1928 and the event influenced modern science.,"[""India launched a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
469,Google created gravity in 2024 and the event influenced modern science.,"[""Google created gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
470,Google launched a framework in 1905 and the event influenced modern science.,"[""Google launched a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
471,Marie Curie developed gravity in 1947 and the event influenced modern science.,"[""Marie Curie developed gravity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
472,WHO developed gravity in 1947 and the event influenced modern science.,"[""WHO developed gravity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
473,Google created a framework in 1905 and the event influenced modern science.,"[""Google created a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
474,WHO created a vaccine in 2024 and the event influenced modern science.,"[""WHO created a vaccine."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
475,WHO created a satellite in 1969 and the event influenced modern science.,"[""WHO created a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
476,WHO created a framework in 1969 and the event influenced modern science.,"[""WHO created a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
477,India developed gravity in 1928 and the event influenced modern science.,"[""India developed gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
478,NASA created a satellite in 2024 and the event influenced modern science.,"[""NASA created a satellite."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
479,Newton announced a satellite in 2020 and the event influenced modern science.,"[""Newton announced a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
480,Google launched gravity in 1969 and the event influenced modern science.,"[""Google launched gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
481,NASA discovered relativity in 1928 and the event influenced modern science.,"[""NASA discovered relativity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
482,NASA launched gravity in 1969 and the event influenced modern science.,"[""NASA launched gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
483,NASA created a vaccine in 1928 and the event influenced modern science.,"[""NASA created a vaccine."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
484,Einstein developed a vaccine in 1969 and the event influenced modern science.,"[""Einstein developed a vaccine."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
485,Einstein developed a framework in 2024 and the event influenced modern science.,"[""Einstein developed a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
486,Google created a vaccine in 2020 and the event influenced modern science.,"[""Google created a vaccine."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
487,Google discovered a framework in 1969 and the event influenced modern science.,"[""Google discovered a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
488,WHO discovered gravity in 2024 and the event influenced modern science.,"[""WHO discovered gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
489,WHO launched relativity in 1969 and the event influenced modern science.,"[""WHO launched relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
490,WHO developed gravity in 1928 and the event influenced modern science.,"[""WHO developed gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
491,NASA discovered a framework in 1969 and the event influenced modern science.,"[""NASA discovered a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
492,WHO created relativity in 1905 and the event influenced modern science.,"[""WHO created relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
493,Newton announced gravity in 1928 and the event influenced modern science.,"[""Newton announced gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
494,India discovered a vaccine in 1905 and the event influenced modern science.,"[""India discovered a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
495,WHO created gravity in 1928 and the event influenced modern science.,"[""WHO created gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
496,Marie Curie created a framework in 2020 and the event influenced modern science.,"[""Marie Curie created a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
497,Google created a framework in 1969 and the event influenced modern science.,"[""Google created a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
498,Einstein discovered gravity in 1969 and the event influenced modern science.,"[""Einstein discovered gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
499,Newton created a framework in 2024 and the event influenced modern science.,"[""Newton created a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
500,Google launched a framework in 1905 and the event influenced modern science.,"[""Google launched a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
501,WHO discovered a framework in 1969 and the event influenced modern science.,"[""WHO discovered a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
502,Marie Curie launched a framework in 1928 and the event influenced modern science.,"[""Marie Curie launched a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
503,Einstein discovered a satellite in 1947 and the event influenced modern science.,"[""Einstein discovered a satellite."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
504,Google created relativity in 2020 and the event influenced modern science.,"[""Google created relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
505,NASA created a vaccine in 1969 and the event influenced modern science.,"[""NASA created a vaccine."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
506,Newton created relativity in 1905 and the event influenced modern science.,"[""Newton created relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
507,WHO discovered a vaccine in 2020 and the event influenced modern science.,"[""WHO discovered a vaccine."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
508,Newton announced a satellite in 1947 and the event influenced modern science.,"[""Newton announced a satellite."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
509,NASA discovered relativity in 1928 and the event influenced modern science.,"[""NASA discovered relativity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
510,NASA created gravity in 1947 and the event influenced modern science.,"[""NASA created gravity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
511,Google announced gravity in 2024 and the event influenced modern science.,"[""Google announced gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
512,India discovered relativity in 2020 and the event influenced modern science.,"[""India discovered relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
513,NASA created a vaccine in 1928 and the event influenced modern science.,"[""NASA created a vaccine."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
514,Google announced a framework in 2020 and the event influenced modern science.,"[""Google announced a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
515,Einstein announced a satellite in 2020 and the event influenced modern science.,"[""Einstein announced a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
516,India announced gravity in 1947 and the event influenced modern science.,"[""India announced gravity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
517,Newton created a vaccine in 1928 and the event influenced modern science.,"[""Newton created a vaccine."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
518,India discovered a vaccine in 1905 and the event influenced modern science.,"[""India discovered a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
519,WHO created a satellite in 1905 and the event influenced modern science.,"[""WHO created a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
520,Marie Curie announced gravity in 1969 and the event influenced modern science.,"[""Marie Curie announced gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
521,Google developed relativity in 1969 and the event influenced modern science.,"[""Google developed relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
522,Marie Curie created a framework in 1928 and the event influenced modern science.,"[""Marie Curie created a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
523,Marie Curie announced a vaccine in 1905 and the event influenced modern science.,"[""Marie Curie announced a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
524,WHO announced a framework in 2024 and the event influenced modern science.,"[""WHO announced a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
525,India announced relativity in 1947 and the event influenced modern science.,"[""India announced relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
526,India discovered a framework in 1969 and the event influenced modern science.,"[""India discovered a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
527,India launched a framework in 1969 and the event influenced modern science.,"[""India launched a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
528,NASA created relativity in 2024 and the event influenced modern science.,"[""NASA created relativity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
529,Marie Curie created a satellite in 1905 and the event influenced modern science.,"[""Marie Curie created a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
530,Marie Curie announced a framework in 1947 and the event influenced modern science.,"[""Marie Curie announced a framework."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
531,Einstein discovered a satellite in 1905 and the event influenced modern science.,"[""Einstein discovered a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
532,Einstein created a vaccine in 1905 and the event influenced modern science.,"[""Einstein created a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
533,NASA developed relativity in 1947 and the event influenced modern science.,"[""NASA developed relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
534,Google developed a satellite in 1947 and the event influenced modern science.,"[""Google developed a satellite."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
535,Google created relativity in 1905 and the event influenced modern science.,"[""Google created relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
536,Google created relativity in 1947 and the event influenced modern science.,"[""Google created relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
537,Google announced a framework in 2024 and the event influenced modern science.,"[""Google announced a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
538,Google developed a framework in 1905 and the event influenced modern science.,"[""Google developed a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
539,NASA developed a vaccine in 1969 and the event influenced modern science.,"[""NASA developed a vaccine."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
540,NASA developed a framework in 1969 and the event influenced modern science.,"[""NASA developed a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
541,Google created gravity in 1969 and the event influenced modern science.,"[""Google created gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
542,Newton created gravity in 1905 and the event influenced modern science.,"[""Newton created gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
543,Marie Curie discovered relativity in 1905 and the event influenced modern science.,"[""Marie Curie discovered relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
544,Google developed a vaccine in 2024 and the event influenced modern science.,"[""Google developed a vaccine."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
545,WHO created relativity in 1928 and the event influenced modern science.,"[""WHO created relativity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
546,India announced gravity in 1928 and the event influenced modern science.,"[""India announced gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
547,Einstein announced a satellite in 1905 and the event influenced modern science.,"[""Einstein announced a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
548,Marie Curie developed relativity in 1905 and the event influenced modern science.,"[""Marie Curie developed relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
549,Marie Curie launched a framework in 2020 and the event influenced modern science.,"[""Marie Curie launched a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
550,Newton announced a vaccine in 2024 and the event influenced modern science.,"[""Newton announced a vaccine."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
551,Newton developed a vaccine in 1947 and the event influenced modern science.,"[""Newton developed a vaccine."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
552,WHO launched a satellite in 1928 and the event influenced modern science.,"[""WHO launched a satellite."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
553,Marie Curie discovered a framework in 1905 and the event influenced modern science.,"[""Marie Curie discovered a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
554,NASA launched gravity in 1928 and the event influenced modern science.,"[""NASA launched gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
555,India launched a vaccine in 1905 and the event influenced modern science.,"[""India launched a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
556,WHO created a satellite in 1969 and the event influenced modern science.,"[""WHO created a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
557,WHO discovered a satellite in 2024 and the event influenced modern science.,"[""WHO discovered a satellite."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
558,NASA discovered a framework in 1928 and the event influenced modern science.,"[""NASA discovered a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
559,India launched a framework in 2020 and the event influenced modern science.,"[""India launched a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
560,Google created gravity in 2020 and the event influenced modern science.,"[""Google created gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
561,Google discovered a satellite in 1969 and the event influenced modern science.,"[""Google discovered a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
562,WHO created relativity in 1905 and the event influenced modern science.,"[""WHO created relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
563,Marie Curie discovered a satellite in 1947 and the event influenced modern science.,"[""Marie Curie discovered a satellite."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
564,NASA created gravity in 1928 and the event influenced modern science.,"[""NASA created gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
565,WHO launched a framework in 1928 and the event influenced modern science.,"[""WHO launched a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
566,NASA announced a vaccine in 2020 and the event influenced modern science.,"[""NASA announced a vaccine."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
567,NASA created a framework in 2020 and the event influenced modern science.,"[""NASA created a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
568,WHO developed a framework in 1969 and the event influenced modern science.,"[""WHO developed a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
569,India created a framework in 1969 and the event influenced modern science.,"[""India created a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
570,Marie Curie created a satellite in 2020 and the event influenced modern science.,"[""Marie Curie created a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
571,Marie Curie discovered a vaccine in 1947 and the event influenced modern science.,"[""Marie Curie discovered a vaccine."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
572,Google launched a vaccine in 2024 and the event influenced modern science.,"[""Google launched a vaccine."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
